RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,3,American Airlines,493
Delays,LAX,3,US Airways,118.0,3.0,2372.0,0.0,3196.0,0.0,2124.0
Totals,LAX,3,Virgin America,1050
Delays,LAX,3,Virgin America,194.0,9.0,2777.0,574.0,5857.0,0.0,4245.0
Totals,LAX,3,Southwest Airlines,3350
Delays,LAX,3,Southwest Airlines,1025.0,57.0,12404.0,221.0,5003.0,50.0,28660.0
Totals,MSP,3,American Airlines,392
Delays,MSP,3,American Airlines,72.0,15.0,1985.0,130.0,663.0,0.0,2540.0
Totals,MSP,3,Alaska Airlines,54
Delays,MSP,3,Alaska Airlines,4.0,0.0,192.0,0.0,139.0,0.0,19.0
Totals,MSP,3,Delta Air Lines,4876
Delays,MSP,3,Delta Air Lines,667.0,17.0,15946.0,653.0,9988.0,0.0,7029.0
Totals,MSP,3,ExpressJet Airlines,811
Delays,MSP,3,ExpressJet Airlines,151.0,33.0,4563.0,0.0,1521.0,0.0,4306.0
Totals,MSP,3,Frontier Airlines,91
Delays,MSP,3,Frontier Airlines,11.0,0.0,1124.0,0.0,517.0,0.0,412.0
Totals,MSP,3,Envoy Air,8
Delays,MSP,3,Envoy Air,2.0,2.0,0.0,0.0,20.0,0.0,119.0
Totals,MSP,3,Spirit Airlines,339
Delays,MSP,3,Spirit Airlines,97.0,2.0,1515.0,46.0,1855.0,21.0,2441.0
Totals,MSP,3,SkyWest Airlines,2081
Delays,MSP,3,SkyWest Airlines,245.0,14.0,5468.0,610.0,3161.0,0.0,5700.0
Totals,MSP,3,United Airlines,263
Delays,MSP,3,United Airlines,46.0,0.0,424.0,0.0,1074.0,0.0,1355.0
Totals,MSP,3,US Airways,360
Delays,MSP,3,US Airways,53.0,7.0,489.0,0.0,1041.0,0.0,691.0
Totals,MSP,3,Southwest Airlines,671
Delays,MSP,3,Southwest Airlines,101.0,6.0,990.0,133.0,426.0,0.0,2364.0
Totals,ORD,3,American Airlines,4318
Delays,ORD,3,American Airlines,1015.0,104.0,19544.0,5436.0,10582.0,20.0,21188.0
Totals,ORD,3,Alaska Airlines,160
Delays,ORD,3,Alaska Airlines,23.0,2.0,235.0,231.0,454.0,0.0,871.0
Totals,ORD,3,JetBlue Airways,182
Delays,ORD,3,JetBlue Airways,58.0,3.0,770.0,185.0,766.0,0.0,1835.0
Totals,ORD,3,Delta Air Lines,603
Delays,ORD,3,Delta Air Lines,126.0,1.0,2145.0,1051.0,944.0,0.0,3968.0
Totals,ORD,3,ExpressJet Airlines,4606
Delays,ORD,3,ExpressJet Airlines,746.0,150.0,11909.0,5775.0,8537.0,0.0,15704.0
Totals,ORD,3,Frontier Airlines,337
Delays,ORD,3,Frontier Airlines,133.0,4.0,1998.0,268.0,4586.0,0.0,4100.0
Totals,ORD,3,Envoy Air,5486
Delays,ORD,3,Envoy Air,1198.0,228.0,27155.0,5447.0,12707.0,114.0,19599.0
Totals,ORD,3,Spirit Airlines,806
Delays,ORD,3,Spirit Airlines,281.0,12.0,5088.0,602.0,7424.0,41.0,4158.0
Totals,ORD,3,SkyWest Airlines,3142
Delays,ORD,3,SkyWest Airlines,629.0,94.0,14951.0,3023.0,6288.0,0.0,12525.0
Totals,ORD,3,United Airlines,5749
Delays,ORD,3,United Airlines,1722.0,82.0,30910.0,7077.0,15307.0,0.0,31555.0
Totals,ORD,3,US Airways,638
Delays,ORD,3,US Airways,94.0,23.0,1491.0,850.0,1200.0,0.0,2665.0
Totals,ORD,3,Virgin America,102
Delays,ORD,3,Virgin America,17.0,0.0,52.0,280.0,115.0,0.0,1093.0
Totals,PHX,3,American Airlines,537
Delays,PHX,3,American Airlines,105.0,7.0,3134.0,77.0,1863.0,0.0,3750.0
Totals,PHX,3,Alaska Airlines,243
Delays,PHX,3,Alaska Airlines,21.0,1.0,204.0,0.0,113.0,0.0,489.0
Totals,PHX,3,JetBlue Airways,62
Delays,PHX,3,JetBlue Airways,19.0,0.0,95.0,0.0,70.0,0.0,608.0
Totals,PHX,3,Delta Air Lines,735
Delays,PHX,3,Delta Air Lines,82.0,3.0,1453.0,86.0,505.0,0.0,1561.0
Totals,PHX,3,Frontier Airlines,218
Delays,PHX,3,Frontier Airlines,76.0,1.0,1052.0,0.0,2204.0,0.0,1894.0
Totals,PHX,3,Hawaiian Airlines,31
Delays,PHX,3,Hawaiian Airlines,2.0,0.0,143.0,61.0,0.0,0.0,0.0
Totals,PHX,3,Spirit Airlines,124
Delays,PHX,3,Spirit Airlines,34.0,2.0,544.0,0.0,904.0,0.0,657.0
Totals,PHX,3,SkyWest Airlines,1745
Delays,PHX,3,SkyWest Airlines,190.0,14.0,3743.0,221.0,3083.0,67.0,4060.0
Totals,PHX,3,United Airlines,654
Delays,PHX,3,United Airlines,111.0,3.0,1583.0,12.0,972.0,0.0,2672.0
Totals,PHX,3,US Airways,4830
Delays,PHX,3,US Airways,680.0,22.0,17984.0,270.0,14503.0,252.0,6859.0
Totals,PHX,3,Southwest Airlines,5347
Delays,PHX,3,Southwest Airlines,1288.0,28.0,16413.0,574.0,8200.0,179.0,20423.0
Totals,SFO,3,American Airlines,900
Delays,SFO,3,American Airlines,137.0,24.0,4325.0,0.0,2701.0,0.0,4470.0
Totals,SFO,3,Alaska Airlines,500
Delays,SFO,3,Alaska Airlines,70.0,1.0,1211.0,15.0,325.0,4.0,2940.0
Totals,SFO,3,JetBlue Airways,450
Delays,SFO,3,JetBlue Airways,99.0,2.0,1404.0,151.0,2526.0,0.0,1943.0
Totals,SFO,3,Delta Air Lines,712
Delays,SFO,3,Delta Air Lines,76.0,11.0,2071.0,0.0,2328.0,0.0,1046.0
Totals,SFO,3,Frontier Airlines,143
Delays,SFO,3,Frontier Airlines,32.0,0.0,332.0,0.0,693.0,0.0,1114.0
Totals,SFO,3,Hawaiian Airlines,62
Delays,SFO,3,Hawaiian Airlines,7.0,1.0,765.0,195.0,0.0,0.0,0.0
Totals,SFO,3,SkyWest Airlines,3507
Delays,SFO,3,SkyWest Airlines,596.0,26.0,11441.0,518.0,3734.0,0.0,17190.0
Totals,SFO,3,United Airlines,4017
Delays,SFO,3,United Airlines,804.0,49.0,16713.0,408.0,10553.0,0.0,15384.0
Totals,SFO,3,US Airways,417
Delays,SFO,3,US Airways,31.0,4.0,868.0,0.0,771.0,0.0,536.0
Totals,SFO,3,Virgin America,1377
Delays,SFO,3,Virgin America,208.0,7.0,2678.0,354.0,5457.0,45.0,4893.0
Totals,SFO,3,Southwest Airlines,1337
Delays,SFO,3,Southwest Airlines,289.0,36.0,3892.0,103.0,1693.0,2.0,9330.0
