RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,MSP,10,SkyWest Airlines,2430
Delays,MSP,10,SkyWest Airlines,239.0,3.0,7038.0,217.0,1736.0,0.0,5450.0
Totals,MSP,10,United Airlines,348
Delays,MSP,10,United Airlines,31.0,1.0,609.0,0.0,251.0,0.0,747.0
Totals,MSP,10,Southwest Airlines,719
Delays,MSP,10,Southwest Airlines,67.0,1.0,810.0,0.0,166.0,0.0,939.0
Totals,ORD,10,American Airlines,5111
Delays,ORD,10,American Airlines,773.0,18.0,14483.0,806.0,6707.0,7.0,13098.0
Totals,ORD,10,Alaska Airlines,181
Delays,ORD,10,Alaska Airlines,15.0,0.0,122.0,0.0,354.0,0.0,372.0
Totals,ORD,10,JetBlue Airways,205
Delays,ORD,10,JetBlue Airways,51.0,0.0,736.0,0.0,1244.0,1.0,898.0
Totals,ORD,10,Delta Air Lines,691
Delays,ORD,10,Delta Air Lines,55.0,0.0,1812.0,34.0,845.0,0.0,665.0
Totals,ORD,10,ExpressJet Airlines,3842
Delays,ORD,10,ExpressJet Airlines,345.0,8.0,6560.0,174.0,8177.0,0.0,5510.0
Totals,ORD,10,Frontier Airlines,455
Delays,ORD,10,Frontier Airlines,80.0,0.0,1778.0,0.0,1969.0,0.0,2010.0
Totals,ORD,10,Envoy Air,6029
Delays,ORD,10,Envoy Air,600.0,5.0,7835.0,215.0,2565.0,69.0,6779.0
Totals,ORD,10,Spirit Airlines,976
Delays,ORD,10,Spirit Airlines,196.0,2.0,622.0,64.0,8285.0,10.0,690.0
Totals,ORD,10,SkyWest Airlines,3830
Delays,ORD,10,SkyWest Airlines,508.0,10.0,12191.0,282.0,7720.0,0.0,7878.0
Totals,ORD,10,United Airlines,6186
Delays,ORD,10,United Airlines,966.0,7.0,18478.0,206.0,12845.0,0.0,14783.0
Totals,ORD,10,Virgin America,146
Delays,ORD,10,Virgin America,34.0,0.0,88.0,0.0,154.0,0.0,271.0
Totals,PHX,10,American Airlines,5088
Delays,PHX,10,American Airlines,626.0,5.0,16753.0,621.0,9753.0,173.0,7861.0
Totals,PHX,10,Alaska Airlines,182
Delays,PHX,10,Alaska Airlines,15.0,0.0,72.0,1.0,734.0,0.0,448.0
Totals,PHX,10,JetBlue Airways,61
Delays,PHX,10,JetBlue Airways,13.0,0.0,108.0,0.0,91.0,0.0,267.0
Totals,PHX,10,Delta Air Lines,600
Delays,PHX,10,Delta Air Lines,42.0,0.0,716.0,0.0,413.0,0.0,946.0
Totals,PHX,10,Frontier Airlines,144
Delays,PHX,10,Frontier Airlines,16.0,0.0,148.0,2.0,283.0,0.0,891.0
Totals,PHX,10,Hawaiian Airlines,31
Delays,PHX,10,Hawaiian Airlines,2.0,0.0,513.0,9.0,0.0,0.0,0.0
Totals,PHX,10,Spirit Airlines,54
Delays,PHX,10,Spirit Airlines,10.0,2.0,241.0,0.0,1142.0,0.0,0.0
Totals,PHX,10,SkyWest Airlines,1410
Delays,PHX,10,SkyWest Airlines,161.0,5.0,2529.0,53.0,2048.0,39.0,4710.0
Totals,PHX,10,United Airlines,572
Delays,PHX,10,United Airlines,73.0,2.0,733.0,282.0,616.0,0.0,1655.0
Totals,PHX,10,Southwest Airlines,4779
Delays,PHX,10,Southwest Airlines,696.0,3.0,7199.0,1179.0,4268.0,0.0,11314.0
Totals,SFO,10,American Airlines,1438
Delays,SFO,10,American Airlines,164.0,9.0,3454.0,0.0,4384.0,0.0,3204.0
Totals,SFO,10,Alaska Airlines,473
Delays,SFO,10,Alaska Airlines,63.0,1.0,703.0,8.0,1111.0,19.0,1807.0
Totals,SFO,10,JetBlue Airways,468
Delays,SFO,10,JetBlue Airways,73.0,0.0,1445.0,61.0,1488.0,0.0,1390.0
Totals,SFO,10,Delta Air Lines,1036
Delays,SFO,10,Delta Air Lines,109.0,0.0,1911.0,6.0,2020.0,0.0,2267.0
Totals,SFO,10,Frontier Airlines,192
Delays,SFO,10,Frontier Airlines,33.0,0.0,634.0,0.0,504.0,0.0,915.0
Totals,SFO,10,Hawaiian Airlines,62
Delays,SFO,10,Hawaiian Airlines,3.0,0.0,449.0,0.0,0.0,0.0,0.0
Totals,SFO,10,SkyWest Airlines,3240
Delays,SFO,10,SkyWest Airlines,533.0,21.0,10192.0,559.0,4836.0,0.0,18678.0
Totals,SFO,10,United Airlines,4389
Delays,SFO,10,United Airlines,665.0,8.0,15362.0,220.0,4986.0,0.0,13055.0
Totals,SFO,10,Virgin America,1526
Delays,SFO,10,Virgin America,217.0,4.0,2559.0,377.0,3132.0,6.0,6983.0
Totals,SFO,10,Southwest Airlines,1346
Delays,SFO,10,Southwest Airlines,203.0,13.0,2092.0,298.0,1367.0,0.0,6444.0
