RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,1,American Airlines,397
Delays,MSP,1,Spirit Airlines,123.0,1.0,1076.0,0.0,4990.0,0.0,2008.0
Totals,MSP,1,SkyWest Airlines,1891
Delays,MSP,1,SkyWest Airlines,326.0,23.0,10266.0,561.0,5034.0,0.0,8891.0
Totals,MSP,1,United Airlines,160
Delays,MSP,1,United Airlines,26.0,3.0,247.0,53.0,499.0,0.0,578.0
Totals,MSP,1,US Airways,365
Delays,MSP,1,US Airways,49.0,9.0,998.0,43.0,999.0,0.0,1005.0
Totals,MSP,1,Southwest Airlines,644
Delays,MSP,1,Southwest Airlines,131.0,7.0,1165.0,42.0,598.0,0.0,2888.0
Totals,ORD,1,American Airlines,3899
Delays,ORD,1,American Airlines,994.0,87.0,15158.0,11606.0,8795.0,1.0,20828.0
Totals,ORD,1,Alaska Airlines,100
Delays,ORD,1,Alaska Airlines,24.0,0.0,290.0,534.0,346.0,0.0,265.0
Totals,ORD,1,JetBlue Airways,170
Delays,ORD,1,JetBlue Airways,33.0,9.0,389.0,72.0,611.0,0.0,995.0
Totals,ORD,1,Delta Air Lines,569
Delays,ORD,1,Delta Air Lines,84.0,2.0,1400.0,1167.0,1213.0,0.0,1819.0
Totals,ORD,1,ExpressJet Airlines,3767
Delays,ORD,1,ExpressJet Airlines,961.0,103.0,15742.0,8143.0,15068.0,0.0,23294.0
Totals,ORD,1,Frontier Airlines,283
Delays,ORD,1,Frontier Airlines,101.0,3.0,3218.0,332.0,4306.0,0.0,3739.0
Totals,ORD,1,Envoy Air,5655
Delays,ORD,1,Envoy Air,1990.0,603.0,34258.0,39104.0,37604.0,57.0,47578.0
Totals,ORD,1,Spirit Airlines,767
Delays,ORD,1,Spirit Airlines,249.0,6.0,3296.0,83.0,10831.0,0.0,3299.0
Totals,ORD,1,SkyWest Airlines,3181
Delays,ORD,1,SkyWest Airlines,1085.0,151.0,27671.0,5913.0,13804.0,29.0,31021.0
Totals,ORD,1,United Airlines,4383
Delays,ORD,1,United Airlines,1520.0,132.0,25473.0,21193.0,15450.0,0.0,27623.0
Totals,ORD,1,US Airways,634
Delays,ORD,1,US Airways,106.0,22.0,2330.0,351.0,1804.0,0.0,1186.0
Totals,ORD,1,Virgin America,76
Delays,ORD,1,Virgin America,21.0,0.0,230.0,117.0,385.0,0.0,76.0
Totals,PHX,1,American Airlines,512
Delays,PHX,1,American Airlines,83.0,6.0,2975.0,122.0,1653.0,5.0,3420.0
Totals,PHX,1,Alaska Airlines,207
Delays,PHX,1,Alaska Airlines,35.0,0.0,246.0,247.0,223.0,0.0,1576.0
Totals,PHX,1,JetBlue Airways,60
Delays,PHX,1,JetBlue Airways,15.0,3.0,144.0,0.0,113.0,0.0,468.0
Totals,PHX,1,Delta Air Lines,589
Delays,PHX,1,Delta Air Lines,57.0,2.0,883.0,855.0,972.0,0.0,1620.0
Totals,PHX,1,ExpressJet Airlines,1
Delays,PHX,1,ExpressJet Airlines,0.0,0.0,0,0,0,0,0
Totals,PHX,1,Frontier Airlines,228
Delays,PHX,1,Frontier Airlines,65.0,1.0,1256.0,0.0,1175.0,0.0,3153.0
Totals,PHX,1,Hawaiian Airlines,31
Delays,PHX,1,Hawaiian Airlines,1.0,0.0,100.0,0.0,0.0,0.0,0.0
Totals,PHX,1,Spirit Airlines,124
Delays,PHX,1,Spirit Airlines,28.0,0.0,304.0,0.0,1751.0,237.0,221.0
Totals,PHX,1,SkyWest Airlines,1592
