RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,11,American Airlines,933
Delays,ORD,11,Spirit Airlines,211.0,23.0,3247.0,834.0,6846.0,7.0,3840.0
Totals,ORD,11,SkyWest Airlines,3549
Delays,ORD,11,SkyWest Airlines,661.0,121.0,16437.0,6971.0,9228.0,0.0,20686.0
Totals,ORD,11,United Airlines,5600
Delays,ORD,11,United Airlines,1221.0,64.0,22929.0,11327.0,13520.0,0.0,34893.0
Totals,ORD,11,Virgin America,140
Delays,ORD,11,Virgin America,33.0,2.0,1016.0,89.0,162.0,0.0,328.0
Totals,PHX,11,American Airlines,4793
Delays,PHX,11,American Airlines,646.0,17.0,13362.0,88.0,8615.0,1152.0,7206.0
Totals,PHX,11,Alaska Airlines,220
Delays,PHX,11,Alaska Airlines,21.0,0.0,354.0,0.0,530.0,0.0,293.0
Totals,PHX,11,JetBlue Airways,57
Delays,PHX,11,JetBlue Airways,17.0,0.0,198.0,0.0,212.0,0.0,259.0
Totals,PHX,11,Delta Air Lines,641
Delays,PHX,11,Delta Air Lines,53.0,0.0,537.0,0.0,362.0,0.0,555.0
Totals,PHX,11,Frontier Airlines,137
Delays,PHX,11,Frontier Airlines,33.0,2.0,299.0,0.0,681.0,0.0,799.0
Totals,PHX,11,Hawaiian Airlines,30
Delays,PHX,11,Hawaiian Airlines,2.0,0.0,292.0,0.0,0.0,0.0,0.0
Totals,PHX,11,Spirit Airlines,92
Delays,PHX,11,Spirit Airlines,35.0,4.0,152.0,44.0,729.0,0.0,681.0
Totals,PHX,11,SkyWest Airlines,1270
Delays,PHX,11,SkyWest Airlines,125.0,6.0,1364.0,150.0,1072.0,133.0,4085.0
Totals,PHX,11,United Airlines,583
Delays,PHX,11,United Airlines,83.0,4.0,2130.0,164.0,1078.0,0.0,1472.0
Totals,PHX,11,Southwest Airlines,4689
Delays,PHX,11,Southwest Airlines,947.0,25.0,12621.0,557.0,4001.0,170.0,14818.0
Totals,SFO,11,American Airlines,1353
Delays,SFO,11,American Airlines,166.0,8.0,2221.0,190.0,2279.0,0.0,3713.0
Totals,SFO,11,Alaska Airlines,432
Delays,SFO,11,Alaska Airlines,57.0,3.0,600.0,0.0,1001.0,87.0,2631.0
Totals,SFO,11,JetBlue Airways,490
Delays,SFO,11,JetBlue Airways,90.0,0.0,1557.0,0.0,1136.0,33.0,2074.0
Totals,SFO,11,Delta Air Lines,1060
Delays,SFO,11,Delta Air Lines,155.0,1.0,2185.0,0.0,1841.0,0.0,4427.0
Totals,SFO,11,Frontier Airlines,223
Delays,SFO,11,Frontier Airlines,52.0,0.0,731.0,0.0,2256.0,0.0,1491.0
Totals,SFO,11,Hawaiian Airlines,60
Delays,SFO,11,Hawaiian Airlines,4.0,1.0,152.0,1.0,0.0,0.0,0.0
Totals,SFO,11,SkyWest Airlines,3102
Delays,SFO,11,SkyWest Airlines,475.0,24.0,8583.0,719.0,4266.0,148.0,12206.0
Totals,SFO,11,United Airlines,4036
Delays,SFO,11,United Airlines,705.0,20.0,16644.0,1495.0,8284.0,0.0,17883.0
Totals,SFO,11,Virgin America,1527
Delays,SFO,11,Virgin America,222.0,10.0,2720.0,248.0,3304.0,37.0,4145.0
Totals,SFO,11,Southwest Airlines,1254
Delays,SFO,11,Southwest Airlines,180.0,23.0,1999.0,154.0,1097.0,0.0,3556.0
