RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,8,American Airlines,990
Delays,ORD,8,SkyWest Airlines,853.0,91.0,21989.0,3575.0,8834.0,132.0,18393.0
Totals,ORD,8,United Airlines,5915
Delays,ORD,8,United Airlines,1696.0,39.0,32013.0,6307.0,22667.0,0.0,36444.0
Totals,ORD,8,Virgin America,153
Delays,ORD,8,Virgin America,23.0,0.0,187.0,56.0,527.0,0.0,441.0
Totals,PHX,8,American Airlines,5371
Delays,PHX,8,American Airlines,1001.0,23.0,24753.0,1996.0,16319.0,285.0,15717.0
Totals,PHX,8,Alaska Airlines,185
Delays,PHX,8,Alaska Airlines,25.0,0.0,95.0,105.0,978.0,0.0,732.0
Totals,PHX,8,JetBlue Airways,62
Delays,PHX,8,JetBlue Airways,22.0,2.0,180.0,38.0,58.0,0.0,711.0
Totals,PHX,8,Delta Air Lines,638
Delays,PHX,8,Delta Air Lines,67.0,0.0,2153.0,171.0,896.0,0.0,1712.0
Totals,PHX,8,ExpressJet Airlines,3
Delays,PHX,8,ExpressJet Airlines,0.0,0.0,0,0,0,0,0
Totals,PHX,8,Frontier Airlines,151
Delays,PHX,8,Frontier Airlines,21.0,0.0,737.0,277.0,641.0,0.0,344.0
Totals,PHX,8,Hawaiian Airlines,31
Delays,PHX,8,Hawaiian Airlines,2.0,0.0,747.0,0.0,0.0,0.0,0.0
Totals,PHX,8,Spirit Airlines,62
Delays,PHX,8,Spirit Airlines,10.0,1.0,22.0,18.0,207.0,0.0,107.0
Totals,PHX,8,SkyWest Airlines,1919
Delays,PHX,8,SkyWest Airlines,338.0,36.0,7036.0,1102.0,4253.0,169.0,9003.0
Totals,PHX,8,United Airlines,359
Delays,PHX,8,United Airlines,68.0,2.0,1350.0,97.0,1175.0,0.0,1262.0
Totals,PHX,8,Southwest Airlines,4922
Delays,PHX,8,Southwest Airlines,1221.0,26.0,22669.0,1792.0,7547.0,0.0,26657.0
Totals,SFO,8,American Airlines,1438
Delays,SFO,8,American Airlines,188.0,9.0,4866.0,0.0,2181.0,56.0,4270.0
Totals,SFO,8,Alaska Airlines,515
Delays,SFO,8,Alaska Airlines,96.0,1.0,416.0,0.0,1518.0,57.0,2381.0
Totals,SFO,8,JetBlue Airways,460
Delays,SFO,8,JetBlue Airways,116.0,3.0,2201.0,0.0,872.0,7.0,3861.0
Totals,SFO,8,Delta Air Lines,1134
Delays,SFO,8,Delta Air Lines,211.0,1.0,3403.0,449.0,2580.0,0.0,4942.0
Totals,SFO,8,Frontier Airlines,186
Delays,SFO,8,Frontier Airlines,25.0,0.0,396.0,0.0,597.0,0.0,434.0
