RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,4,American Airlines,469
Delays,MSP,4,Frontier Airlines,11.0,0.0,233.0,0.0,386.0,0.0,310.0
Totals,MSP,4,Spirit Airlines,315
Delays,MSP,4,Spirit Airlines,65.0,4.0,715.0,73.0,2175.0,9.0,1541.0
Totals,MSP,4,SkyWest Airlines,2218
Delays,MSP,4,SkyWest Airlines,192.0,10.0,3489.0,343.0,2279.0,0.0,3293.0
Totals,MSP,4,United Airlines,264
Delays,MSP,4,United Airlines,48.0,1.0,1202.0,29.0,764.0,0.0,1416.0
Totals,MSP,4,US Airways,320
Delays,MSP,4,US Airways,39.0,1.0,623.0,3.0,662.0,0.0,528.0
Totals,MSP,4,Southwest Airlines,628
Delays,MSP,4,Southwest Airlines,113.0,0.0,1114.0,436.0,669.0,0.0,2760.0
Totals,ORD,4,American Airlines,4583
Delays,ORD,4,American Airlines,999.0,59.0,16331.0,2236.0,8396.0,0.0,23155.0
Totals,ORD,4,Alaska Airlines,176
Delays,ORD,4,Alaska Airlines,18.0,1.0,251.0,84.0,200.0,0.0,1257.0
Totals,ORD,4,JetBlue Airways,176
Delays,ORD,4,JetBlue Airways,32.0,1.0,165.0,0.0,1097.0,0.0,1024.0
Totals,ORD,4,Delta Air Lines,642
Delays,ORD,4,Delta Air Lines,108.0,3.0,1052.0,582.0,1631.0,0.0,4356.0
Totals,ORD,4,ExpressJet Airlines,4206
Delays,ORD,4,ExpressJet Airlines,521.0,130.0,7966.0,1238.0,6623.0,0.0,11924.0
Totals,ORD,4,Frontier Airlines,372
Delays,ORD,4,Frontier Airlines,106.0,6.0,1306.0,236.0,3656.0,0.0,1434.0
Totals,ORD,4,Envoy Air,5305
Delays,ORD,4,Envoy Air,821.0,132.0,10743.0,1555.0,7285.0,161.0,11129.0
Totals,ORD,4,Spirit Airlines,884
Delays,ORD,4,Spirit Airlines,255.0,10.0,3013.0,635.0,6313.0,4.0,4042.0
Totals,ORD,4,SkyWest Airlines,3573
Delays,ORD,4,SkyWest Airlines,653.0,95.0,17165.0,1410.0,4866.0,30.0,11225.0
Totals,ORD,4,United Airlines,5271
Delays,ORD,4,United Airlines,1326.0,64.0,25704.0,7236.0,11650.0,0.0,30811.0
Totals,ORD,4,US Airways,507
Delays,ORD,4,US Airways,44.0,6.0,408.0,72.0,912.0,0.0,1661.0
Totals,ORD,4,Virgin America,110
Delays,ORD,4,Virgin America,17.0,1.0,8.0,143.0,135.0,0.0,878.0
Totals,PHX,4,American Airlines,441
Delays,PHX,4,American Airlines,64.0,4.0,2189.0,18.0,1760.0,9.0,2097.0
Totals,PHX,4,Alaska Airlines,236
Delays,PHX,4,Alaska Airlines,5.0,0.0,8.0,10.0,31.0,0.0,79.0
Totals,PHX,4,JetBlue Airways,60
Delays,PHX,4,JetBlue Airways,21.0,1.0,78.0,0.0,156.0,0.0,442.0
Totals,PHX,4,Delta Air Lines,655
Delays,PHX,4,Delta Air Lines,67.0,1.0,1796.0,174.0,1045.0,0.0,1044.0
Totals,PHX,4,Frontier Airlines,203
Delays,PHX,4,Frontier Airlines,51.0,1.0,156.0,0.0,1138.0,0.0,1566.0
Totals,PHX,4,Hawaiian Airlines,30
Delays,PHX,4,Hawaiian Airlines,1.0,0.0,178.0,36.0,0.0,0.0,0.0
Totals,PHX,4,Spirit Airlines,90
Delays,PHX,4,Spirit Airlines,27.0,2.0,418.0,0.0,513.0,0.0,182.0
Totals,PHX,4,SkyWest Airlines,1858
Delays,PHX,4,SkyWest Airlines,209.0,22.0,5383.0,36.0,1729.0,98.0,5306.0
Totals,PHX,4,United Airlines,535
Delays,PHX,4,United Airlines,105.0,4.0,1612.0,73.0,1762.0,0.0,2633.0
Totals,PHX,4,US Airways,4563
Delays,PHX,4,US Airways,609.0,12.0,15002.0,299.0,7233.0,95.0,5536.0
Totals,PHX,4,Southwest Airlines,5075
Delays,PHX,4,Southwest Airlines,1267.0,13.0,17262.0,522.0,3687.0,54.0,19639.0
Totals,SFO,4,American Airlines,871
Delays,SFO,4,American Airlines,138.0,5.0,3707.0,389.0,2015.0,20.0,3361.0
Totals,SFO,4,Alaska Airlines,492
Delays,SFO,4,Alaska Airlines,72.0,2.0,500.0,0.0,378.0,23.0,2854.0
Totals,SFO,4,JetBlue Airways,437
Delays,SFO,4,JetBlue Airways,70.0,1.0,1054.0,56.0,1410.0,0.0,1603.0
Totals,SFO,4,Delta Air Lines,725
Delays,SFO,4,Delta Air Lines,82.0,2.0,1439.0,0.0,1777.0,0.0,1709.0
Totals,SFO,4,Frontier Airlines,146
Delays,SFO,4,Frontier Airlines,36.0,0.0,1348.0,0.0,818.0,0.0,2580.0
Totals,SFO,4,Hawaiian Airlines,60
Delays,SFO,4,Hawaiian Airlines,3.0,0.0,293.0,31.0,0.0,0.0,0.0
Totals,SFO,4,SkyWest Airlines,3220
Delays,SFO,4,SkyWest Airlines,562.0,45.0,13224.0,74.0,2184.0,0.0,16218.0
Totals,SFO,4,United Airlines,3944
Delays,SFO,4,United Airlines,836.0,26.0,16309.0,349.0,5624.0,0.0,16824.0
Totals,SFO,4,US Airways,420
Delays,SFO,4,US Airways,42.0,5.0,735.0,0.0,329.0,0.0,483.0
Totals,SFO,4,Virgin America,1380
Delays,SFO,4,Virgin America,182.0,3.0,2347.0,696.0,2011.0,0.0,4459.0
Totals,SFO,4,Southwest Airlines,1324
Delays,SFO,4,Southwest Airlines,243.0,31.0,2809.0,39.0,1183.0,0.0,7222.0
