RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,5,American Airlines,475
Totals,ORD,5,ExpressJet Airlines,4086
Delays,ORD,5,ExpressJet Airlines,654.0,34.0,11620.0,2837.0,9600.0,0.0,10979.0
Totals,ORD,5,Frontier Airlines,496
Delays,ORD,5,Frontier Airlines,136.0,0.0,2555.0,0.0,5528.0,0.0,3114.0
Totals,ORD,5,Envoy Air,5745
Delays,ORD,5,Envoy Air,882.0,67.0,12502.0,5087.0,5277.0,50.0,15621.0
Totals,ORD,5,Spirit Airlines,1023
Delays,ORD,5,Spirit Airlines,518.0,33.0,12071.0,881.0,10808.0,197.0,12058.0
Totals,ORD,5,SkyWest Airlines,3413
Delays,ORD,5,SkyWest Airlines,631.0,63.0,14114.0,1482.0,5474.0,3.0,10280.0
Totals,ORD,5,United Airlines,5787
Delays,ORD,5,United Airlines,1547.0,38.0,29417.0,3797.0,20629.0,0.0,36211.0
Totals,ORD,5,US Airways,521
Delays,ORD,5,US Airways,45.0,3.0,452.0,177.0,1577.0,0.0,1512.0
Totals,ORD,5,Virgin America,149
Delays,ORD,5,Virgin America,27.0,0.0,111.0,59.0,933.0,26.0,79.0
Totals,PHX,5,American Airlines,403
Delays,PHX,5,American Airlines,39.0,7.0,791.0,375.0,1716.0,0.0,2648.0
Totals,PHX,5,Alaska Airlines,217
Delays,PHX,5,Alaska Airlines,12.0,0.0,72.0,0.0,85.0,0.0,255.0
Totals,PHX,5,JetBlue Airways,62
Delays,PHX,5,JetBlue Airways,25.0,0.0,96.0,42.0,95.0,0.0,774.0
Totals,PHX,5,Delta Air Lines,603
Delays,PHX,5,Delta Air Lines,64.0,0.0,2080.0,377.0,678.0,26.0,1624.0
Totals,PHX,5,Frontier Airlines,155
Delays,PHX,5,Frontier Airlines,31.0,0.0,265.0,0.0,1138.0,0.0,639.0
Totals,PHX,5,Hawaiian Airlines,31
Delays,PHX,5,Hawaiian Airlines,1.0,0.0,487.0,124.0,23.0,0.0,0.0
Totals,PHX,5,Spirit Airlines,62
Delays,PHX,5,Spirit Airlines,20.0,4.0,206.0,104.0,494.0,0.0,597.0
Totals,PHX,5,SkyWest Airlines,1866
Delays,PHX,5,SkyWest Airlines,208.0,12.0,5071.0,0.0,1872.0,64.0,4507.0
Totals,PHX,5,United Airlines,534
Delays,PHX,5,United Airlines,104.0,1.0,1155.0,182.0,1276.0,0.0,3014.0
Totals,PHX,5,US Airways,4840
Delays,PHX,5,US Airways,615.0,8.0,14192.0,1152.0,9057.0,194.0,5406.0
Totals,PHX,5,Southwest Airlines,5030
Delays,PHX,5,Southwest Airlines,1330.0,22.0,17679.0,1299.0,4541.0,103.0,24680.0
Totals,SFO,5,American Airlines,895
Delays,SFO,5,American Airlines,145.0,10.0,2549.0,41.0,3091.0,0.0,3280.0
Totals,SFO,5,Alaska Airlines,504
Delays,SFO,5,Alaska Airlines,132.0,3.0,837.0,0.0,378.0,76.0,5634.0
Totals,SFO,5,JetBlue Airways,455
Delays,SFO,5,JetBlue Airways,108.0,1.0,1517.0,112.0,1592.0,0.0,2748.0
Totals,SFO,5,Delta Air Lines,765
Delays,SFO,5,Delta Air Lines,96.0,0.0,1865.0,0.0,1479.0,0.0,1703.0
Totals,SFO,5,Frontier Airlines,185
Delays,SFO,5,Frontier Airlines,40.0,0.0,517.0,0.0,1356.0,0.0,982.0
Totals,SFO,5,Hawaiian Airlines,62
Delays,SFO,5,Hawaiian Airlines,5.0,0.0,1189.0,9.0,0.0,0.0,0.0
Totals,SFO,5,SkyWest Airlines,3090
Delays,SFO,5,SkyWest Airlines,728.0,53.0,12391.0,143.0,2311.0,0.0,23924.0
Totals,SFO,5,United Airlines,4330
Delays,SFO,5,United Airlines,1112.0,26.0,21030.0,215.0,9184.0,0.0,25411.0
Totals,SFO,5,US Airways,481
Delays,SFO,5,US Airways,47.0,1.0,916.0,0.0,817.0,0.0,661.0
Totals,SFO,5,Virgin America,1437
Delays,SFO,5,Virgin America,320.0,0.0,1970.0,746.0,2604.0,58.0,9019.0
Totals,SFO,5,Southwest Airlines,1339
Delays,SFO,5,Southwest Airlines,348.0,39.0,2712.0,172.0,1387.0,0.0,10652.0
